arpt_id,icao_id,arpt_name,rwy_id,lat_decimal,long_decimal,observation_time,wind_speed_kt,flight_category,raw_text
0A9,,ELIZABETHTON MUNI,06/24,36.37155794,-82.17272433,2023-12-27T22:35:00Z,,VFR,K0A9 272235Z AUTO 10SM CLR 08/07 A2983 RMK AO2
0AK,,PILOT STATION,04/22,61.96147697,-162.9423546,,,,
0B1,,BETHEL RGNL,14/32,44.42516666,-70.80991666,,,,
0B2,,BREWER,01/19,44.76383333,-68.76786111,,,,
0B4,,HARTINGTON MUNI/ BUD BECKER FLD,03/21,42.60308333,-97.2535,,,,
0B5,,TURNERS FALLS,16/34,42.59161111,-72.523,,,,
0B7,,WARREN-SUGARBUSH,04/22,44.11738888,-72.827,,,,
0B8,,ELIZABETH FLD,12/30,41.25213888,-72.03163888,,,,
0C0,,DACY,14/32,42.40247222,-88.63238888,,,,
0C1,,TRIPLE R,02/20,39.48775,-94.78113888,,,,
0C2,,HINCKLEY,09/27,41.77086277,-88.70341444,,,,
0C4,,PENDER MUNI,15/33,42.11341811,-96.72781338,,,,
0C5,,CANADIAN LAKES,18/36,43.57701111,-85.284,,,,
0C8,,CUSHING FLD LTD,18/36,41.519475,-88.60562888,,,,
0D7,,ADA,09/27,40.79060805,-83.82910388,,,,
0D8,,GETTYSBURG MUNI,13/31,44.98661111,-99.95288888,2023-12-27T22:35:00Z,14.0,LIFR,K0D8 272235Z AUTO 33014KT 4SM BR OVC003 M00/M00 A3010 RMK A01
0E0,,MORIARTY MUNI,08/26,34.97816666,-106.0000278,2023-12-27T22:35:00Z,9.0,VFR,K0E0 272235Z AUTO 31009KT 10SM CLR 07/M10 A3014 RMK AO2 T00731100
0E8,,CROWNPOINT,18/36,35.71765888,-108.2015961,,,,
0E9,,CORYDON,09/27,40.75622777,-93.24033611,,,,
0F2,,BOWIE MUNI,17/35,33.60166666,-97.77555555,2023-12-27T22:35:00Z,12.0,VFR,K0F2 272235Z AUTO 33012G19KT 10SM CLR 09/M01 A3007 RMK AO2 T00851015
0F3,,SPIRIT LAKE MUNI,16/34,43.38742083,-95.13946805,,,,
0F4,,LOUP CITY MUNI,04/22,41.28636111,-98.99002777,,,,
0F7,,FOUNTAINHEAD LODGE AIRPARK,18/36,35.38866666,-95.60027777,,,,
0F9,,TISHOMINGO AIRPARK,17/35,34.1985,-96.6745,,,,
0G3,,TECUMSEH MUNI,15/33,40.40094444,-96.17044444,,,,
0G6,,WILLIAMS COUNTY,07/25,41.46730555,-84.50677777,,,,
0G7,,FINGER LAKES RGNL,11/29,42.88355555,-76.78116666,,,,
0H1,,TREGO WAKEENEY,17/35,39.00652777,-99.89294444,,,,
0H7,,KAHOKA MUNI,10/28,40.42172222,-91.70666666,,,,
0I2,,BRAZIL CLAY COUNTY,09/27,39.47673555,-87.09970916,,,,
0I8,,CYNTHIANA-HARRISON COUNTY,11/29,38.36616388,-84.28334444,,,,
0ID,,W E RANCH,17/35,42.44818625,-111.7775431,,,,
0J0,,ABBEVILLE MUNI,17/35,31.60022222,-85.23830833,,,,
0J4,,FLORALA MUNI,04/22,31.04247361,-86.31156111,2023-12-27T21:58:00Z,0.0,VFR,K0J4 272158Z AUTO 00000KT 10SM FEW090 16/06 A2995 RMK AO2 SLP140 T01560061
0J8,,FLYING TEN,18/36,29.61891666,-82.50877777,,,,
0K6,,DOBIE'S,17/35,36.17934722,-95.580275,,,,
0K7,,HUMBOLDT MUNI,12/30,42.73486111,-94.24547222,,,,
0L4,,LIDA JUNCTION,18/36,37.49188888,-117.1884167,,,,
0L7,,JEAN,02L/20R,35.76826436,-115.329622,,,,
0L9,,ECHO BAY,06/24,36.31102777,-114.4638889,,,,
0M0,,BILLY FREE MUNI,18/36,33.88452777,-91.53427777,,,,
0M2,,REELFOOT LAKE,01/19,36.47533333,-89.34630555,,,,
0M3,,PAUL BRIDGES FLD,02/20,35.54597416,-87.59732444,,,,
0M4,,BENTON COUNTY,04/22,36.00954166,-88.12472777,,,,
0M5,,HUMPHREYS COUNTY,03/21,36.11661111,-87.73816666,,,,
0M8,,BYERLEY,17/35,32.82587916,-91.187665,,,,
0M9,,DELHI MUNI,18/36,32.41072222,-91.49852777,,,,
0N0,,ROOSTERVILLE,18/36,39.28983333,-94.44244444,,,,
0N4,,CHANDELLE,04/22,39.20230555,-75.48541666,,,,
0N6,,ALBANNA AVIATION,15/33,39.01288888,-75.53397222,,,,
0O2,,BAKER,15/33,35.28627777,-116.0813611,,,,
0O4,,CORNING MUNI,17/35,39.94610805,-122.1711167,,,,
0O9,,WARD FLD,06/24,41.84558333,-123.9847778,,,,
0P1,,VAN PAK,16/34,39.83169444,-99.56844444,,,,
0P2,,SHOESTRING AVIATION AIRFIELD,06U/24U,39.79625416,-76.64639305,,,,
0P8,,LAZY B RANCH,05/23,40.02442361,-76.8153,,,,
0Q3,,SONOMA VALLEY,17/35,38.22394225,-122.449711,,,,
0Q4,,SELMA,10/28,36.5810005,-119.656978,,,,
0Q5,,SHELTER COVE,12/30,40.02816666,-124.0743056,,,,
0Q9,,SONOMA SKYPARK,08/26,38.25747222,-122.4345556,,,,
0R0,,COLUMBIA/MARION COUNTY,05/23,31.29784638,-89.81148694,2023-12-27T22:35:00Z,4.0,VFR,K0R0 272235Z AUTO 25004KT 10SM CLR 14/08 A2995 RMK AO2 PWINO
0R1,,ATMORE MUNI,18/36,31.01613888,-87.44675,,,,
0R2,,LINCOLN MUNI,18/36,38.40233333,-93.33225,,,,
0R4,,CONCORDIA PARISH,14/32,31.562,-91.50647222,2023-12-27T22:35:00Z,15.0,VFR,K0R4 272235Z AUTO 26015KT 10SM CLR 16/00 A2997 RMK AO2 T01590004
0R5,,DAVID G JOYCE,09/27,31.96366222,-92.66026055,,,,
0R6,,HAMPTON MUNI,02/20,33.52261111,-92.46027777,,,,
0R7,,THE RED RIVER,18/36,31.99027777,-93.30761111,,,,
0S0,,LIND,05/23,46.97684194,-118.5872311,,,,
0S1,,MEADOW CREEK USFS,17/35,47.84936516,-113.4174194,,,,
0S5,,NEZPERCE MUNI,15/33,46.23852777,-116.2385556,,,,
0S7,,DOROTHY SCOTT INTL,15/33,48.95897222,-119.4119722,,,,
0S9,,JEFFERSON COUNTY INTL,09/27,48.05380555,-122.8106389,2023-12-27T22:35:00Z,8.0,VFR,K0S9 272235Z AUTO 11008KT 10SM CLR 12/07 A2974 RMK AO2
0U0,,LANDMARK USFS,16/34,44.64211111,-115.5333889,,,,
0U1,,WARM SPRINGS CREEK,02/20,44.14222222,-115.3140556,,,,
0U2,,COPPER BASIN,13/31,43.80197222,-113.8315278,,,,
0U3,,MAHONEY CREEK USFS,04/22,44.74458333,-114.9213889,,,,
0U7,,HOLLOW TOP,05/23,43.32375,-113.5905,,,,
0U8,,MAY,09/27,44.61033333,-113.8948611,,,,
0U9,,LEE WILLIAMS MEML,08/26,44.46127777,-116.7580278,,,,
0V3,,PIONEER VILLAGE FLD,05/23,40.51491666,-98.94563888,,,,
0V4,,BROOKNEAL/CAMPBELL COUNTY,06/24,37.14172222,-79.01638888,2023-12-27T22:35:00Z,0.0,MVFR,K0V4 272235Z AUTO 00000KT 10SM SCT006 BKN010 OVC014 12/12 A2979 RMK AO1
0V7,,KAYENTA,05/23,36.71644444,-110.2284444,,,,
0VG,,LEE COUNTY,07/25,36.654085,-83.21784666,2023-12-27T22:35:00Z,0.0,VFR,K0VG 272235Z AUTO 00000KT 10SM CLR 09/07 A2984 RMK AO2
0W3,,HARFORD COUNTY,10/28,39.56820083,-76.202965,,,,
0Y6,,LAKE MILLS MUNI,18/36,43.41366666,-93.51175,,,,
10C,,GALT FLD,18/36,42.40288888,-88.37511111,,,,
10D,,WINSTED MUNI,09/27,44.95385,-94.06539027,,,,
10G,,HOLMES COUNTY,09/27,40.53670125,-81.95594116,2023-12-27T22:35:00Z,6.0,LIFR,K10G 272235Z AUTO 32006KT 1 3/4SM BR OVC003 07/07 A2984 RMK AO2
10U,,OWYHEE,05/23,41.95362833,-116.18207,,,,
10X,,OX RANCH,17/35,29.46148194,-100.1142892,,,,
11A,,CLAYTON MUNI,10/28,31.88332444,-85.48522472,,,,
11K,,SQUADRON FLD,01/19,37.46117222,-95.24194444,,,,
11N,,CANDLELIGHT FARMS,17/35,41.56916666,-73.46208333,,,,
11R,,BRENHAM MUNI,16/34,30.2196755,-96.37440277,2023-12-27T22:35:00Z,9.0,VFR,K11R 272235Z AUTO 33009KT 10SM CLR 16/00 A3003 RMK AO2 T01620002
11S,,SEKIU,08/26,48.26611638,-124.3139647,,,,
11V,,EASTON/VALLEY VIEW/,14/32,40.32735694,-104.6093944,,,,
11Y,,FLYING FEATHERS,18/36,44.06263127,-88.19246663,,,,
12A,,ARKAVALLEY,18/36,35.17752961,-92.33506697,,,,
12D,,TOWER MUNI,08/26,47.81815555,-92.28606666,,,,
12G,,SHELBY COMMUNITY,03/21,40.87286111,-82.69738888,,,,
12J,,BREWTON MUNI,12/30,31.05071138,-87.06726666,,,,
12K,,SUPERIOR MUNI,18/36,40.04619986,-98.06125544,,,,
12N,,AEROFLEX/ANDOVER,03/21,41.00861972,-74.73803388,2023-12-27T21:54:00Z,3.0,VFR,K12N 272154Z AUTO 35003KT 08/07 A2995 RMK AO1 SLP147 T00780067
12S,,MONUMENT MUNI,14/32,44.83152777,-119.4296667,,,,
12V,,ONA AIRPARK,07/25,38.44088888,-82.20077777,,,,
12Y,,LE SUEUR MUNI,13/31,44.44088808,-93.91584727,,,,
13C,,LAKEVIEW/GRIFFITH FLD,10/28,43.45225,-85.26463888,,,,
13K,,LT WILLIAM M MILLIKEN,18/36,37.85161611,-96.29202444,,,,
13Q,,JEWETT MESA,06/24,34.00430555,-108.6797778,,,,
13W,,CAMANO ISLAND AIRFIELD,16/34,48.25694444,-122.4361944,,,,
13Y,,LITTLEFORK MUNI/HANOVER,09/27,48.40827777,-93.579425,,,,
14A,,LAKE NORMAN AIRPARK,14/32,35.61386944,-80.89943055,,,,
14G,,FREMONT,09/27,41.33308333,-83.16119444,,,,
14J,,CARL FOLSOM,01/19,31.41004166,-86.09033611,,,,
14M,,HOLLANDALE MUNI,08/26,33.18251488,-90.83049347,,,,
14N,,BELTZVILLE,08/26,40.8442875,-75.63535416,,,,
14S,,WESTPORT,12/30,46.89695083,-124.1007453,,,,
14Y,,TODD FLD,16/34,45.89759416,-94.87362277,2023-12-27T22:35:00Z,0.0,LIFR,K14Y 272235Z AUTO 00000KT 1 1/4SM BR OVC004 00/00 A3005 RMK AO2
15A,,MARK REYNOLDS/NORTH MOBILE COUNTY,03/21,30.90913888,-87.99633333,,,,
15F,,HASKELL MUNI,18/36,33.19148686,-99.71787263,,,,
15G,,WELTZIEN SKYPARK,03/21,41.02818472,-81.79814722,,,,
15J,,COOK COUNTY,15/33,31.13675777,-83.45422333,,,,
15M,,IUKA,01/19,34.77333333,-88.16608333,2023-12-27T22:35:00Z,0.0,VFR,K15M 272235Z AUTO 00000KT 10SM BKN047 OVC055 12/02 A2985 RMK AO2 T01150023
15N,,JENKINS,12/30,39.11733333,-75.58441666,,,,
15W,,DENNIS FARMS,09/27,42.89441666,-84.39222222,,,,
15Z,PAMX,MCCARTHY,01/19,61.43781908,-142.902503,,,,
16A,PPIT,NUNAPITCHUK,18/36,60.906,-162.4405833,,,,
16D,,PERHAM MUNI,13/31,46.61097222,-95.60611111,,,,
16G,,SENECA COUNTY,06/24,41.09405555,-83.2125,,,,
16J,,DAWSON MUNI,14/32,31.74328805,-84.41929138,,,,
16S,,MYRTLE CREEK MUNI,03/21,42.99726111,-123.3153472,,,,
16W,,LITTLE GOOSE LOCK AND DAM,07/25,46.58394444,-118.0035833,,,,
16X,,PROPWASH,17/35,33.08061111,-97.35841666,,,,
17A,,TRIGGER GAP,10/28,36.32825,-93.62221388,,,,
17G,,PORT BUCYRUS/CRAWFORD COUNTY,09/27,40.78158333,-82.97480555,,,,
17J,,DONALSONVILLE MUNI,01/19,31.00650722,-84.87763666,2023-12-27T22:35:00Z,3.0,VFR,K17J 272235Z AUTO 25003KT 10SM CLR 14/05 A2994 RMK AO2 T01430047
17K,,BOISE CITY,04/22,36.77430555,-102.5104444,,,,
17M,,MAGEE MUNI,18/36,31.862765,-89.80061444,,,,
17N,,CROSS KEYS,09/27,39.70547583,-75.03300305,,,,
17S,,CHEHALEM AIRPARK,07/25,45.32372777,-123.0542694,,,,
17V,,HAXTUN MUNI,17/35,40.62444444,-102.6079722,,,,
18A,,FRANKLIN-HART,08/26,34.34036111,-83.13080555,2023-12-27T22:35:00Z,4.0,VFR,K18A 272235Z AUTO 25004KT 10SM CLR 12/08 A2984 RMK AO2 T01240077
18I,,MC CREARY COUNTY,04/22,36.69538888,-84.3915,,,,
18K,,FOWLER,03/21,37.38427777,-100.1861944,,,,
18T,,TATUM,12/30,33.26080555,-103.2784861,,,,
18V,,PLATTE VALLEY AIRPARK,15/33,40.10272222,-104.7011944,,,,
18Y,,MILACA MUNI,16/34,45.77246472,-93.63218444,,,,
19M,,C A MOORE,01/19,33.12546111,-90.02555694,,,,
19N,,PINE VALLEY,05/23,39.77844444,-74.94780555,,,,
19S,,SUBLETTE MUNI,08/26,37.49686111,-100.8329167,2023-12-27T22:35:00Z,13.0,MVFR,K19S 272235Z AUTO 35013KT 10SM OVC022 03/00 A3009 RMK AO2 T00311004
1A1,,GREEN ACRES,03/21,42.14944444,-73.75047222,,,,
1A2,,ARTHUR,17/35,47.11263611,-97.20814722,,,,
1A3,,MARTIN CAMPBELL FLD,02/20,35.01581611,-84.34683111,,,,
1A4,,LOGAN FLD,05/23,31.10370277,-86.0626,,,,
1A5,,MACON COUNTY,07/25,35.22231219,-83.41999661,2023-12-27T22:30:00Z,3.0,VFR,K1A5 272230Z AUTO 25003KT 10SM CLR 10/04 A2986 RMK AO2 T01040044
1A6,,MIDDLESBORO/BELL COUNTY,10/28,36.61026,-83.73731527,2023-12-27T22:35:00Z,0.0,VFR,K1A6 272235Z AUTO 00000KT 10SM CLR 09/07 A2984 RMK AO2 T00850066
1A7,,JACKSON COUNTY,18/36,36.39681694,-85.64132527,,,,
1A8,,GOLDFIELD,H1,37.72205861,-117.2363658,,,,
1A9,,PRATTVILLE/GROUBY FLD,09/27,32.43872222,-86.51269444,2023-12-27T22:35:00Z,,VFR,K1A9 272235Z AUTO 10SM CLR 11/03 A2991 RMK AO2 T01110028
1B0,,DEXTER RGNL,16/34,45.0045075,-69.23743666,,,,
1B1,,COLUMBIA COUNTY,03/21,42.29130555,-73.71033333,,,,
1B2,,KATAMA AIRPARK,06/24,41.35845055,-70.52447055,,,,
1B5,,FRANCONIA,18/36,44.19595036,-71.75070327,,,,
1B6,,HOPEDALE INDUSTRIAL PARK,18/36,42.10648583,-71.51009,,,,
1B8,,CHAPIN FLD,05/23,43.05269444,-73.36313888,,,,
1B9,,MANSFIELD MUNI,04/22,42.00087916,-71.19804111,,,,
1BT,,BONNE TERRE MUNI,14/32,37.91898055,-90.57520277,,,,
1C1,,PAXTON,18/36,40.44897888,-88.12773805,,,,
1C3,,ARGYLE,03/21,43.25452777,-73.47019444,,,,
1C5,,BOLINGBROOK'S CLOW INTL,18/36,41.69591666,-88.1295,,,,
1C8,,COTTONWOOD,18/36,42.29168583,-89.13621833,,,,
1C9,,FRAZIER LAKE AIRPARK,05W/23W,36.95283333,-121.4626389,,,,
1D1,,MILBANK MUNI,07/25,45.2305,-96.56608333,2023-12-27T22:40:00Z,5.0,LIFR,K1D1 272240Z AUTO 33005KT 1 1/2SM UP BR OVC003 00/00 A3007 RMK AO2
1D2,,CANTON-PLYMOUTH-METTETAL,18/36,42.34780555,-83.45633333,,,,
1D3,,PLATTE MUNI,14/32,43.40471525,-98.83049091,,,,
1D4,,MAYFIELD,09/27,40.99255638,-81.43177916,,,,
1D6,,HECTOR MUNI,12/30,44.73110252,-94.713786,,,,
1D7,,THE SIGURD ANDERSON,12/30,45.29311111,-97.51361111,,,,
1D8,,REDFIELD MUNI,17/35,44.85656722,-98.53122833,2023-12-27T22:35:00Z,11.0,LIFR,K1D8 272235Z AUTO 33011KT 6SM UP BR BKN003 OVC007 01/01 A3008 RMK AO2
1DA,,BIG BAR USFS,17/35,45.53457777,-116.5309167,,,,
1DS,,DRY SWAMP,02/20,33.38426111,-80.907025,,,,
1E2,,TERLINGUA RANCH,02/20,29.4515,-103.3976111,,,,
1E4,,PALO DURO,17/35,35.14372222,-101.8392222,,,,
1E7,,BUFFALO,02/20,35.06388888,-101.8775833,,,,
1E8,,DEGRASSE MOORES,02/20,44.38791666,-75.06633333,,,,
1F0,,ARDMORE DOWNTOWN EXEC,17/35,34.14697222,-97.12266666,2023-12-27T22:35:00Z,13.0,VFR,K1F0 272235Z AUTO 33013KT 10SM CLR 07/M05 A3007 RMK AO2 T00651046
1F2,,PLATEAU SKY RANCH,06/24,43.22555194,-74.11445019,,,,
1F4,,MADILL MUNI,18/36,34.14040194,-96.81203222,,,,
1F5,,HOXIE-SHERIDAN COUNTY,17/35,39.36508333,-100.4380833,,,,
1F7,,AIRPARK EAST,13/31,32.81294444,-96.35202777,,,,
1G0,,WOOD COUNTY,10/28,41.391,-83.63013888,,,,
1G1,,ELYRIA,09/27,41.33152777,-82.10025,,,,
1G3,,KENT STATE UNIVERSITY,01/19,41.15138888,-81.41511111,,,,
1G4,,GRAND CANYON WEST,17/35,35.98611111,-113.8169167,,,,
1G5,,MEDINA MUNI,01/19,41.13144444,-81.76488888,,,,
1G8,,EDDIE DEW MEML AIRPARK,17/35,40.47598888,-80.62805972,,,,
1H0,,CREVE COEUR,16/34,38.72733333,-90.50841666,,,,
1H1,,AIRLANE ENTERPRISES,10/28,43.20588888,-76.17930555,,,,
1H2,,EFFINGHAM COUNTY MEML,11/29,39.07044444,-88.53352777,2023-12-27T22:35:00Z,4.0,VFR,K1H2 272235Z AUTO 05004KT 10SM OVC060 06/02 A2985 RMK AO2 T00590021
1H3,,STATE TECHNICAL COLLEGE OF MISSOURI,09/27,38.47161111,-91.81722222,,,,
1H4,,GREENVILLE-RAINBOW,01/19,42.41970277,-74.00689166,,,,
1H5,,WILLOW SPRINGS MEML,17/35,36.98961805,-91.95407638,,,,
1H6,,HARVEY YOUNG,N/S,36.13891666,-95.82505555,,,,
1H8,,CASEY MUNI,18/36,39.30250916,-88.00406194,,,,
1H9,,NEST OF EAGLES,01/19,45.83561575,-91.80283775,,,,
1I1,,MARCY FLD,02/20,44.22085555,-73.78801111,,,,
1I3,,SHAWNEE FLD,18/36,39.04272222,-87.00275,,,,
1I5,,FREEHOLD,12/30,42.364,-74.06502777,,,,
1I8,,CONVERSE,07/25,40.57320277,-85.89959722,,,,
1I9,,DELPHI MUNI,18/36,40.54081083,-86.68146638,,,,
1J9,,FORT WALTON BEACH,18/36,30.40630555,-86.82919444,,,,
1K1,,LLOYD STEARMAN FLD,17/35,37.77444444,-97.11322222,,,,
1K2,,LINDSAY MUNI,01/19,34.84945138,-97.58529166,,,,
1K4,,DAVID JAY PERRY,13/31,35.1550675,-97.47039388,,,,
1K5,,WAYNOKA MUNI,17/35,36.5713,-98.85466388,,,,
1K6,,ELLINWOOD MUNI,08/26,38.37284027,-98.59864305,,,,
1K7,,FREDONIA,17/35,37.58070416,-95.83715555,,,,
1K8,,SOUTH GRAND LAKE RGNL,18/36,36.54636111,-95.01352777,,,,
1K9,,SATANTA MUNI,03/21,37.45666666,-100.9846111,,,,
1KS,,LINN COUNTY,18/36,38.17343333,-94.690325,,,,
1L1,,LINCOLN COUNTY,17/35,37.78741666,-114.4198889,,,,
1L3,,SEARCHLIGHT,H1,35.44455555,-114.9093611,,,,
1L4,,KIDWELL,15/33,35.30554944,-114.8827528,,,,
1L7,,ESCALANTE MUNI,13/31,37.74536111,-111.5701667,,,,
1L8,,GENERAL DICK STOUT FLD,01/19,37.14021536,-113.3060799,,,,
1L9,,PAROWAN,04/22,37.85963888,-112.8158611,,,,
1M2,,BELZONI MUNI,03/21,33.14518055,-90.51528472,,,,
1M3,,ARDMORE,01/19,34.97908333,-86.88327777,,,,
1M4,,POSEY FLD,18/36,34.28033333,-87.60041666,2023-12-27T21:56:00Z,8.0,VFR,K1M4 272156Z AUTO 18008KT 10SM BKN065 12/01 A2986 RMK AO2 SLP108 T01170006
1M5,,DOUGLAS HUNTER FLD,01/19,36.59286111,-86.47691666,2023-12-27T22:35:00Z,4.0,VFR,K1M5 272235Z AUTO 11004KT 10SM SCT080 BKN120 07/04 A2982 RMK A01
1M6,,STEVENS RANCH,01/19,45.28804291,-106.1452956,,,,
1M7,,FULTON,09/27,36.52563888,-88.91783333,,,,
1M8,,MYRICKS,09/27,41.83905555,-71.02647222,,,,
1M9,,LAKE BARKLEY STATE PARK,02/20,36.81780138,-87.90751666,,,,
1MO,,MOUNTAIN GROVE MEML,08/26,37.12086141,-92.31010666,,,,
1N1,,SANDIA AIRPARK ESTATES EAST,09/27,35.09461111,-106.1645556,,,,
1N3,,ALBERT,11/29,40.9716875,-78.24297916,,,,
1N5,,BENNETT,08/26,38.41276933,-75.61693077,,,,
1N7,,BLAIRSTOWN,07/25,40.97113313,-74.99750405,,,,
1O1,,GRANDFIELD MUNI,08/26,34.23758944,-98.74200916,,,,
1O2,,LAMPSON FLD,10/28,38.99061111,-122.9007222,,,,
1O3,,LODI,12/30,38.20244166,-121.2691417,,,,
1O4,,THOMAS MUNI,17/35,35.73366666,-98.73052777,,,,
